philosopherLabel,birthDate,sexLabel,nationalityLabel,movementLabel,teacherLabel,studentLabel
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Carl Stumpf,Edith Stein
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Wilhelm Wundt,Edith Stein
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Wilhelm Wundt,Edith Stein
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Leopold Kronecker,Edith Stein
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Leopold Kronecker,Edith Stein
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Friedrich Paulsen,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Friedrich Paulsen,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Karl Weierstrass,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Karl Weierstrass,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Franz Brentano,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Franz Brentano,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Carl Stumpf,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Carl Stumpf,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Wilhelm Wundt,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Wilhelm Wundt,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,empire d'Autriche,philosophie occidentale,Leopold Kronecker,Carlos Astrada
Edmund Husserl,1859-04-08T00:00:00Z,masculin,Reich allemand,philosophie occidentale,Leopold Kronecker,Carlos Astrada
Thomas Jefferson,1743-04-13T00:00:00Z,masculin,États-Unis,,William Small,
Wole Soyinka,1934-07-13T00:00:00Z,masculin,Nigeria,,,
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,romantisme,James Barry,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,romantisme,James Barry,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,romantisme,James Barry,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,peinture féerique,James Barry,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,peinture féerique,James Barry,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,peinture féerique,James Barry,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,romantisme,Georg Michael Moser,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,romantisme,Georg Michael Moser,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,romantisme,Georg Michael Moser,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,peinture féerique,Georg Michael Moser,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,peinture féerique,Georg Michael Moser,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,peinture féerique,Georg Michael Moser,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,romantisme,James Basire,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,romantisme,James Basire,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,romantisme,James Basire,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,peinture féerique,James Basire,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,peinture féerique,James Basire,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,peinture féerique,James Basire,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,romantisme,Henry Pars,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,romantisme,Henry Pars,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,romantisme,Henry Pars,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni,peinture féerique,Henry Pars,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,royaume de Grande-Bretagne,peinture féerique,Henry Pars,Thomas Trotter
William Blake,1757-11-28T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,peinture féerique,Henry Pars,Thomas Trotter
David Hilbert,1862-01-23T00:00:00Z,masculin,Troisième Reich,,,Wilhelm Ackermann
David Hilbert,1862-01-23T00:00:00Z,masculin,Royaume de Prusse,,,Wilhelm Ackermann
David Hilbert,1862-01-23T00:00:00Z,masculin,République de Weimar,,,Wilhelm Ackermann
David Hilbert,1862-01-23T00:00:00Z,masculin,Empire allemand,,,Wilhelm Ackermann
David Hilbert,1862-01-23T00:00:00Z,masculin,Troisième Reich,,,Richard Courant
David Hilbert,1862-01-23T00:00:00Z,masculin,Royaume de Prusse,,,Richard Courant
David Hilbert,1862-01-23T00:00:00Z,masculin,République de Weimar,,,Richard Courant
David Hilbert,1862-01-23T00:00:00Z,masculin,Empire allemand,,,Richard Courant
David Hilbert,1862-01-23T00:00:00Z,masculin,Troisième Reich,,,Otto Blumenthal
David Hilbert,1862-01-23T00:00:00Z,masculin,Royaume de Prusse,,,Otto Blumenthal
David Hilbert,1862-01-23T00:00:00Z,masculin,République de Weimar,,,Otto Blumenthal
David Hilbert,1862-01-23T00:00:00Z,masculin,Empire allemand,,,Otto Blumenthal
David Hilbert,1862-01-23T00:00:00Z,masculin,Troisième Reich,,,Erich Hecke
David Hilbert,1862-01-23T00:00:00Z,masculin,Royaume de Prusse,,,Erich Hecke
David Hilbert,1862-01-23T00:00:00Z,masculin,République de Weimar,,,Erich Hecke
David Hilbert,1862-01-23T00:00:00Z,masculin,Empire allemand,,,Erich Hecke
Carl Göring,1841-04-28T00:00:00Z,masculin,Confédération de l'Allemagne du Nord,,,
Ernst Krieck,1882-07-06T00:00:00Z,masculin,Allemagne,,,
Friedrich Kittler,1943-06-12T00:00:00Z,masculin,Allemagne,,,
Carl August von Eschenmayer,1768-07-04T00:00:00Z,masculin,duché de Wurtemberg,,,
Harald Weinrich,1927-09-24T00:00:00Z,masculin,Allemagne,,,
Arthur Kronfeld,1886-01-09T00:00:00Z,masculin,Union soviétique,,,
Arthur Kronfeld,1886-01-09T00:00:00Z,masculin,Reich allemand,,,
Theodor Ziehen,1862-11-12T00:00:00Z,masculin,Allemagne,,,
Henri Ahrens,1808-07-14T00:00:00Z,masculin,Empire allemand,,,
Hans Blüher,1888-02-17T00:00:00Z,masculin,Troisième Reich,,,
Hans Blüher,1888-02-17T00:00:00Z,masculin,République de Weimar,,,
Hans Blüher,1888-02-17T00:00:00Z,masculin,Empire allemand,,,
Hans Blüher,1888-02-17T00:00:00Z,masculin,Allemagne de l'Ouest,,,
Paul Oppenheim,1885-06-17T00:00:00Z,masculin,Allemagne,,,
Johann Joachim Spalding,1714-11-01T00:00:00Z,masculin,Royaume de Prusse,,,
Hans Lenk,1935-03-23T00:00:00Z,masculin,Allemagne,,,
Karl Wilhelm Ferdinand Solger,1780-11-28T00:00:00Z,masculin,Royaume de Prusse,,,Karl Otfried Müller
Jacob Sigismund Beck,1761-08-06T00:00:00Z,masculin,,,Emmanuel Kant,
Jacob Sigismund Beck,1761-08-06T00:00:00Z,masculin,,,Christian Jakob Kraus,
Jacob Sigismund Beck,1761-08-06T00:00:00Z,masculin,,,Johann Schultz,
Xu Liangying,1920-05-03T00:00:00Z,masculin,république populaire de Chine,,,
Carl Peter Thunberg,1743-11-11T00:00:00Z,masculin,Suède,,,Katsuragawa Hoshū
Carl Peter Thunberg,1743-11-11T00:00:00Z,masculin,Suède,,,Nakagawa Jun'an
Carl Peter Thunberg,1743-11-11T00:00:00Z,masculin,Suède,,,Jonas Nicolaus Ahl
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Espagne,réalisme magique,Raúl Porras Barrenechea,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Pérou,réalisme magique,Raúl Porras Barrenechea,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,République dominicaine,réalisme magique,Raúl Porras Barrenechea,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Espagne,boom latino-américain,Raúl Porras Barrenechea,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Pérou,boom latino-américain,Raúl Porras Barrenechea,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,République dominicaine,boom latino-américain,Raúl Porras Barrenechea,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Espagne,réalisme magique,Isaac Humala Núñez,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Pérou,réalisme magique,Isaac Humala Núñez,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,République dominicaine,réalisme magique,Isaac Humala Núñez,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Espagne,boom latino-américain,Isaac Humala Núñez,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Pérou,boom latino-américain,Isaac Humala Núñez,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,République dominicaine,boom latino-américain,Isaac Humala Núñez,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Espagne,réalisme magique,Luis Jaime Cisneros,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Pérou,réalisme magique,Luis Jaime Cisneros,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,République dominicaine,réalisme magique,Luis Jaime Cisneros,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Espagne,boom latino-américain,Luis Jaime Cisneros,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,Pérou,boom latino-américain,Luis Jaime Cisneros,
Mario Vargas Llosa,1936-03-28T00:00:00Z,masculin,République dominicaine,boom latino-américain,Luis Jaime Cisneros,
Constantin Tsiolkovski,1857-09-17T00:00:00Z,masculin,Union soviétique,,,
Constantin Tsiolkovski,1857-09-17T00:00:00Z,masculin,Empire russe,,,
Constantin Tsiolkovski,1857-09-17T00:00:00Z,masculin,République russe,,,
Constantin Tsiolkovski,1857-09-17T00:00:00Z,masculin,Russie soviétique,,,
Heinrich Rudolf Hertz,1857-02-22T00:00:00Z,masculin,Hambourg,,Hermann Ludwig von Helmholtz,
Edward de Bono,1933-05-19T00:00:00Z,masculin,Colonie de Malte et dépendances,,,
Kurt Gödel,1906-04-28T00:00:00Z,masculin,États-Unis,,Philipp Furtwängler,
Kurt Gödel,1906-04-28T00:00:00Z,masculin,Autriche,,Philipp Furtwängler,
Kurt Gödel,1906-04-28T00:00:00Z,masculin,Tchécoslovaquie,,Philipp Furtwängler,
Kurt Gödel,1906-04-28T00:00:00Z,masculin,Cisleithanie,,Philipp Furtwängler,
Hans Driesch,1867-10-28T00:00:00Z,masculin,Troisième Reich,,,
Hans Driesch,1867-10-28T00:00:00Z,masculin,République de Weimar,,,
Hans Driesch,1867-10-28T00:00:00Z,masculin,Empire allemand,,,
Emmanuel Kant,1724-04-22T00:00:00Z,masculin,Royaume de Prusse,idéalisme allemand,Johann Gottfried Teske,Jacob Sigismund Beck
Emmanuel Kant,1724-04-22T00:00:00Z,masculin,Royaume de Prusse,idéalisme allemand,Johann Gottfried Teske,Marcus Herz
Emmanuel Kant,1724-04-22T00:00:00Z,masculin,Royaume de Prusse,idéalisme allemand,Johann Gottfried Teske,Christian Jakob Kraus
Emmanuel Kant,1724-04-22T00:00:00Z,masculin,Royaume de Prusse,idéalisme allemand,Johann Gottfried Teske,Johann Gottlieb Fichte
John Maynard Keynes,1883-06-05T00:00:00Z,masculin,Royaume-Uni,Bloomsbury Group,Alfred Marshall,
John Maynard Keynes,1883-06-05T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,Bloomsbury Group,Alfred Marshall,
John Maynard Keynes,1883-06-05T00:00:00Z,masculin,Royaume-Uni,Bloomsbury Group,William Ernest Johnson,
John Maynard Keynes,1883-06-05T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,Bloomsbury Group,William Ernest Johnson,
Friedrich Nietzsche,1844-10-15T00:00:00Z,masculin,Royaume de Prusse,philosophie de la vie,Jacob Burckhardt,Rudolf Steiner
Friedrich Nietzsche,1844-10-15T00:00:00Z,masculin,Royaume de Prusse,philosophie de la vie,Friedrich Wilhelm Ritschl,Rudolf Steiner
Jean-Paul Sartre,1905-06-21T00:00:00Z,masculin,France,athéisme,,
Jean-Paul Sartre,1905-06-21T00:00:00Z,masculin,France,marxisme,,
Jean-Paul Sartre,1905-06-21T00:00:00Z,masculin,France,existentialisme,,
Jean-Paul Sartre,1905-06-21T00:00:00Z,masculin,France,philosophie continentale,,
Jean-Paul Sartre,1905-06-21T00:00:00Z,masculin,France,phénoménologie,,
Jean-Paul Sartre,1905-06-21T00:00:00Z,masculin,France,philosophie française,,
Adam Smith,1723-06-01T00:00:00Z,masculin,royaume de Grande-Bretagne,,,
Max Weber,1864-04-21T00:00:00Z,masculin,Allemagne,,,Alfred Schütz
Max Weber,1864-04-21T00:00:00Z,masculin,Royaume de Prusse,,,Alfred Schütz
Max Weber,1864-04-21T00:00:00Z,masculin,République de Weimar,,,Alfred Schütz
Max Weber,1864-04-21T00:00:00Z,masculin,Empire allemand,,,Alfred Schütz
Max Weber,1864-04-21T00:00:00Z,masculin,Confédération de l'Allemagne du Nord,,,Alfred Schütz
Max Weber,1864-04-21T00:00:00Z,masculin,Allemagne,,,Harold Garfinkel
Max Weber,1864-04-21T00:00:00Z,masculin,Royaume de Prusse,,,Harold Garfinkel
Max Weber,1864-04-21T00:00:00Z,masculin,République de Weimar,,,Harold Garfinkel
Max Weber,1864-04-21T00:00:00Z,masculin,Empire allemand,,,Harold Garfinkel
Max Weber,1864-04-21T00:00:00Z,masculin,Confédération de l'Allemagne du Nord,,,Harold Garfinkel
Ludwig Wittgenstein,1889-04-26T00:00:00Z,masculin,Autriche,philosophie analytique,,G. E. M. Anscombe
Ludwig Wittgenstein,1889-04-26T00:00:00Z,masculin,Royaume-Uni,philosophie analytique,,G. E. M. Anscombe
Ludwig Wittgenstein,1889-04-26T00:00:00Z,masculin,Autriche,philosophie analytique,,Alice Ambrose
Ludwig Wittgenstein,1889-04-26T00:00:00Z,masculin,Royaume-Uni,philosophie analytique,,Alice Ambrose
Vilfredo Pareto,1848-07-15T00:00:00Z,masculin,France,École de Lausanne,,
Vilfredo Pareto,1848-07-15T00:00:00Z,masculin,royaume d'Italie,École de Lausanne,,
Otto Bauer,1881-09-05T00:00:00Z,masculin,Autriche,marxisme,,
Larry Sanger,1968-07-16T00:00:00Z,masculin,États-Unis,,,
Denis Diderot,1713-10-05T00:00:00Z,masculin,royaume de France,matérialisme,,Paul Boësnier de l'Orme
Denis Diderot,1713-10-05T00:00:00Z,masculin,royaume de France,encyclopédiste,,Paul Boësnier de l'Orme
Denis Diderot,1713-10-05T00:00:00Z,masculin,royaume de France,Lumières,,Paul Boësnier de l'Orme
Friedrich Theodor Vischer,1807-06-30T00:00:00Z,masculin,Royaume du Wurtemberg,,,
André-Marie Ampère,1775-01-20T00:00:00Z,masculin,France,,,Jean-Baptiste-Firmin Demonferrand
Jean-Paul II,1920-05-18T00:00:00Z,masculin,Pologne,,,
Fiodor Dostoïevski,1821-11-11T00:00:00Z,masculin,Empire russe,réalisme,,
Mahatma Gandhi,1869-10-02T00:00:00Z,masculin,Inde,non-violence,Shrimad Rajchandra,Vinoba Bhave
Charles Darwin,1809-02-12T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,,John Edmonstone,
Charles Darwin,1809-02-12T00:00:00Z,masculin,Royaume-Uni de Grande-Bretagne et d'Irlande,,Adam Sedgwick,
Dag Hammarskjöld,1905-07-29T00:00:00Z,masculin,Suède,,Hildur Akselsson,
Friedrich Hayek,1899-05-08T00:00:00Z,masculin,Autriche,,,Marjorie Grice-Hutchinson
Friedrich Hayek,1899-05-08T00:00:00Z,masculin,Royaume-Uni,,,Marjorie Grice-Hutchinson
Michael Schmidt-Salomon,1967-09-14T00:00:00Z,masculin,Allemagne,,,
Benoît XVI,1927-04-16T00:00:00Z,masculin,Italie,,,Bruno Schmid
Benoît XVI,1927-04-16T00:00:00Z,masculin,Allemagne,,,Bruno Schmid
Benoît XVI,1927-04-16T00:00:00Z,masculin,Vatican,,,Bruno Schmid
Antoine de Saint-Exupéry,1900-06-29T00:00:00Z,masculin,France,,,
Charles Maurras,1868-04-20T00:00:00Z,masculin,France,néo-classicisme,Jean-Baptiste Penon,
Charles Maurras,1868-04-20T00:00:00Z,masculin,France,positivisme,Jean-Baptiste Penon,
Charles Maurras,1868-04-20T00:00:00Z,masculin,France,royalisme,Jean-Baptiste Penon,
Ernst Mayr,1904-07-05T00:00:00Z,masculin,États-Unis,,Erwin Stresemann,
Ernst Mayr,1904-07-05T00:00:00Z,masculin,Allemagne,,Erwin Stresemann,
Pierre-Joseph Proudhon,1809-01-15T00:00:00Z,masculin,Belgique,,,Armand Hayem
Pierre-Joseph Proudhon,1809-01-15T00:00:00Z,masculin,France,,,Armand Hayem
Pierre Kropotkine,1842-12-09T00:00:00Z,masculin,république socialiste fédérative soviétique de Russie,anarchisme,,
Pierre Kropotkine,1842-12-09T00:00:00Z,masculin,Empire russe,anarchisme,,
Mao Zedong,1893-12-26T00:00:00Z,masculin,république populaire de Chine,marxisme-léninisme-maoïsme,Li Yuanfu,
Mao Zedong,1893-12-26T00:00:00Z,masculin,dynastie Qing,marxisme-léninisme-maoïsme,Li Yuanfu,
Mao Zedong,1893-12-26T00:00:00Z,masculin,République soviétique chinoise,marxisme-léninisme-maoïsme,Li Yuanfu,
Mao Zedong,1893-12-26T00:00:00Z,masculin,république de Chine,marxisme-léninisme-maoïsme,Li Yuanfu,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,siècle des Lumières,Adam Friedrich Oeser,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,Sturm und Drang,Adam Friedrich Oeser,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,Classicisme de Weimar,Adam Friedrich Oeser,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,siècle des Lumières,Justus Christian Loder,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,Sturm und Drang,Justus Christian Loder,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,Classicisme de Weimar,Justus Christian Loder,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,siècle des Lumières,Jean Schweighaeuser,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,Sturm und Drang,Jean Schweighaeuser,
Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,masculin,grand-duché de Saxe-Weimar-Eisenach,Classicisme de Weimar,Jean Schweighaeuser,
Marcel Duchamp,1887-07-28T00:00:00Z,masculin,États-Unis,Dada,,
Marcel Duchamp,1887-07-28T00:00:00Z,masculin,France,Dada,,
Marcel Duchamp,1887-07-28T00:00:00Z,masculin,États-Unis,surréalisme,,
Marcel Duchamp,1887-07-28T00:00:00Z,masculin,France,surréalisme,,
Marcel Duchamp,1887-07-28T00:00:00Z,masculin,États-Unis,art conceptuel,,
Marcel Duchamp,1887-07-28T00:00:00Z,masculin,France,art conceptuel,,
Søren Kierkegaard,1813-05-05T00:00:00Z,masculin,Royaume du Danemark,existentialisme,Poul Martin Møller,
Søren Kierkegaard,1813-05-05T00:00:00Z,masculin,Royaume du Danemark,existentialisme,Hans Lassen Martensen,
Søren Kierkegaard,1813-05-05T00:00:00Z,masculin,Royaume du Danemark,existentialisme,Frederik Christian Sibbern,
Jean-Jacques Rousseau,1712-06-28T00:00:00Z,masculin,République de Genève,musique baroque,,Louis Stanislas de Girardin
Jean-Jacques Rousseau,1712-06-28T00:00:00Z,masculin,République de Genève,contrat social,,Louis Stanislas de Girardin
Stanisław Lem,1921-09-12T00:00:00Z,masculin,Pologne,,,
Michel Onfray,1959-01-01T00:00:00Z,masculin,France,hédonisme,,
Michel Onfray,1959-01-01T00:00:00Z,masculin,France,athéisme,,
Michel Onfray,1959-01-01T00:00:00Z,masculin,France,matérialisme,,
Michel Onfray,1959-01-01T00:00:00Z,masculin,France,philosophie continentale,,
Michel Onfray,1959-01-01T00:00:00Z,masculin,France,libertarianisme,,
Michel Onfray,1959-01-01T00:00:00Z,masculin,France,euroscepticisme,,
Julien Offray de La Mettrie,1709-12-12T00:00:00Z,masculin,France,athéisme,,
Julien Offray de La Mettrie,1709-12-25T00:00:00Z,masculin,France,athéisme,,
Julien Offray de La Mettrie,1709-12-12T00:00:00Z,masculin,France,matérialisme,,
Julien Offray de La Mettrie,1709-12-25T00:00:00Z,masculin,France,matérialisme,,
Sophie Germain,1776-04-01T00:00:00Z,féminin,France,,,
